Date,Attendence,Fed Holiday,Weekend,Closed
1/21/2012,1286,0,1,0
1/22/2012,547,0,1,0
1/23/2012,259,0,0,0
1/24/2012,354,0,0,0
1/25/2012,210,0,0,0
1/26/2012,216,0,0,0
1/27/2012,392,0,0,0
1/28/2012,549,0,1,0
1/29/2012,366,0,1,0
1/30/2012,118,0,0,0
1/31/2012,317,0,0,0
2/1/2012,262,0,0,0
2/2/2012,285,0,0,0
2/3/2012,327,0,0,0
2/4/2012,609,0,1,0
2/5/2012,345,0,1,0
2/6/2012,131,0,0,0
2/7/2012,460,0,0,0
2/8/2012,257,0,0,0
2/9/2012,206,0,0,0
2/10/2012,393,0,0,0
2/11/2012,774,0,1,0
2/12/2012,524,0,1,0
2/13/2012,285,0,0,0
2/14/2012,301,0,0,0
2/15/2012,410,0,0,0
2/16/2012,362,0,0,0
2/17/2012,554,0,0,0
2/18/2012,795,0,1,0
2/19/2012,814,0,1,0
2/20/2012,1016,1,0,0
2/21/2012,382,0,0,0
2/22/2012,336,0,0,0
2/23/2012,294,0,0,0
2/24/2012,367,0,0,0
2/25/2012,594,0,1,0
2/26/2012,433,0,1,0
2/27/2012,284,0,0,0
2/28/2012,287,0,0,0
2/29/2012,333,0,0,0
3/1/2012,402,0,0,0
3/2/2012,380,0,0,0
3/3/2012,656,0,1,0
3/4/2012,430,0,1,0
3/5/2012,135,0,0,0
3/6/2012,332,0,0,0
3/7/2012,309,0,0,0
3/8/2012,267,0,0,0
3/9/2012,377,0,0,0
3/10/2012,470,0,1,0
3/11/2012,466,0,1,0
3/12/2012,188,0,0,0
